segment,video_group,fold
Basketball,Basketball,4
Bolt,Bolt,2
Boy,Boy,2
CarDark,CarDark,4
CarScale,CarScale,0
Coke,Coke,2
Couple,Couple,3
Crossing,Crossing,3
David,David,2
David2,David2,1
David3,David3,3
Deer,Deer,2
Dog1,Dog1,4
Doll,Doll,4
Dudek,Dudek,0
Fish,Fish,1
FleetFace,FleetFace,2
Football,Football,2
Football1,Football1,1
Freeman1,Freeman1,3
Freeman3,Freeman3,1
Freeman4,Freeman4,2
Girl,Girl,0
Ironman,Ironman,1
Jogging.1,Jogging,3
Jogging.2,Jogging,3
Jumping,Jumping,1
Lemming,Lemming,3
Liquor,Liquor,0
Matrix,Matrix,0
Mhyang,Mhyang,2
MotorRolling,MotorRolling,2
MountainBike,MountainBike,1
Shaking,Shaking,3
Singer2,Singer2,4
Skating1,Skating1,0
Skiing,Skiing,4
Soccer,Soccer,4
Subway,Subway,4
Suv,Suv,4
Sylvester,Sylvester,0
Tiger1,Tiger1,3
Tiger2,Tiger2,0
Trellis,Trellis,0
Walking,Walking,1
Walking2,Walking2,3
Woman,Woman,0
