segment,fold
-R4z88ZvLCA_000064_000074,0
-cAfxH1WnPo_000087_000097,1
-dglCzcubsw_000246_000256,0
-jo4dEIXIdE_000310_000320,1
-mlH-fXU_lQ_000027_000037,0
-vO-iaTn4qY_000232_000242,0
0eVbNhwl8_8_000035_000045,1
3JAHsIb7gFs_000014_000024,2
3fNbYkV8Mlc_000202_000212,3
4u41-OsKbcY_001144_001154,3
6PFFo9W2h-I_000000_000010,0
6XInl6ybtCM_000165_000175,1
6vzKVQhZo2g_000034_000044,3
6z3b7X5Hhgk_000018_000028,4
7BiRqruCbik_000043_000053,4
7DvZe1UCQ9M_000040_000050,4
7Gaco44RkSI_000175_000185,4
7KaEQ3e8S1s_000555_000565,0
7MwOF9vAhLQ_000019_000029,0
7TRbucnR9Sw_000025_000035,4
7Z4i-qep5sI_000025_000035,4
7aqST6yt4mA_000013_000023,2
7cmmRwejr4c_000053_000063,2
7h7oygwZg8I_000655_000665,3
7ucuoJtF9OM_000018_000028,2
7zvX3e9WENc_000017_000027,1
8BXJT1b0nrk_000134_000144,2
8Dk8YZDUZGk_000019_000029,1
8F2S0086y2U_000013_000023,1
8J6o8GVKs58_000563_000573,1
8KUVXUYk4l4_000013_000023,2
8Pchr85RtvE_000022_000032,0
8R5H75Hd-yc_000076_000086,4
8ZqOr0CuDjM_000012_000022,1
8bbfk-Ob0vE_000019_000029,3
8glyaEmPcdQ_000049_000059,1
8j-OkgcHUYg_000370_000380,4
8pQG7DWI7S4_000646_000656,1
8tlxGGVDG3g_000117_000127,2
8ualLg1Ti1A_000128_000138,4
976O0_Ya2-4_000233_000243,0
9BdJezRRvOM_000108_000118,4
9CKzGQhV7H8_000194_000204,4
9HwZIVAyJ-A_000146_000156,3
9MQK5u8EbbA_000079_000089,3
9SfVc8IeB-s_000049_000059,1
9VdQ7pUrl7Y_000037_000047,0
9cwbjY0yFIM_000023_000033,0
9e5uapZkpRM_000014_000024,2
9hagrmoY3qE_000000_000010,4
9lS7Q1_Zu-0_000054_000064,2
A6ynW63aSts_000011_000021,3
A79ffFgSwIQ_000024_000034,2
A95YLvuh-IQ_000036_000046,4
ABtNT6ok57E_000100_000110,4
ADPZKzTja0s_000062_000072,3
ANuDP4CylUk_000393_000403,1
ATMKOK0mI2o_000231_000241,2
AYbGlLtB7D0_000269_000279,2
A_44rrgTHRU_000021_000031,0
Ae-edqttiEo_000028_000038,2
AgQ5VWnL9VY_000155_000165,1
AjoA3yALXyc_000040_000050,4
Amelecba8lU_000045_000055,0
AmyAy-IaJuI_000047_000057,0
AvqlBLq9FmQ_000035_000045,1
AzURNZEc4L4_000081_000091,4
B1N_DDn2hLI_000724_000734,0
B77Yjkw_vyo_000030_000040,3
BBN0LWvzi3s_000056_000066,4
BFpTUiwqclk_000190_000200,1
BGDnwIiOYQ8_000029_000039,1
BPjYLZvRjkY_000012_000022,3
BS8YbmPsCxE_000120_000130,3
BSq_22ep1eI_000294_000304,4
Bf11WsIP3es_000023_000033,4
Bi9IBQQ8tHw_000029_000039,2
Bp_htaFkXBM_000131_000141,4
BygUpGOewR4_000013_000023,3
C-4ZA0cX9Lc_000024_000034,3
C-N4M14ezW0_000026_000036,1
C7R4UNgK0mA_000054_000064,0
CChF4Mmlc-0_000246_000256,4
CEKHgBG-XVc_000418_000428,1
CEVO0nClDTY_000077_000087,4
CXCmPXAJQ0k_000101_000111,3
CYQeHcfdj4w_000178_000188,1
Cax7RTUcQZA_000000_000010,1
Cg9yvOyEIL0_000020_000030,1
Cy7947iDHhg_000102_000112,0
D-Rrb3Y-kdE_000046_000056,1
D0TR14J-gm8_000121_000131,4
D2QfAj8QnX8_001196_001206,2
D5CqqzRqh88_000193_000203,4
D9RnOGuko78_000050_000060,2
D9XYemqKjeI_000017_000027,4
DAqW-QhuElc_000065_000075,1
DBXE6k9PP-g_000024_000034,4
DCLwhvmzn6Y_000045_000055,2
DKNqbOxyd5s_000000_000010,3
DPeCo4x5IUg_000072_000082,4
DbnXRR9n6UU_000011_000021,1
DdLB3ZFmDTc_000028_000038,1
Dgl2RpFT7yI_000025_000035,1
DknHKMRGxeQ_000134_000144,1
DzNl8cw1gQc_000076_000086,0
E1fmSijoPT4_000015_000025,3
EDM2ArE3sRc_000010_000020,2
EFSisbqfB8U_000015_000025,0
ETy-PE1p1bc_000143_000153,1
EY8LewdIGqM_000109_000119,4
EhERqjPd9_0_000038_000048,2
EiTuTfvs_oc_000424_000434,2
F73ZSWMp0yk_000417_000427,4
FF1hfHI6P3E_000019_000029,4
FS9x9nZG1fQ_000017_000027,4
FeEJJZHHDm4_000959_000969,3
FeYiE_XxocE_000116_000126,0
FhymgtQfe5g_000481_000491,0
Fi4Trd-2BqE_000029_000039,2
Fjj-NjxRSMk_000597_000607,2
FrmaW6pGgz4_000542_000552,2
FwkmAOCWLgs_000081_000091,0
FxA9qDryB7g_000027_000037,4
G8ypfFSt_Lo_000082_000092,0
GKHEKwHEDMU_000196_000206,4
GRJMeHh4Dkc_000019_000029,1
GgPhiQvUtRs_000325_000335,0
GjbOa8EsqyQ_000018_000028,0
GkWMryHh9Tw_000023_000033,1
GrbEhjVa5hc_000036_000046,3
H7D-B0ady_0_000216_000226,0
HJvx-o9D2FY_000275_000285,2
HRc7MPKa_pE_000077_000087,2
HUuzL4jrdg8_000249_000259,4
HVWk9aS39UQ_000281_000291,1
HrnKr8odjGA_000121_000131,2
IJiR25sosNc_000017_000027,0
IPFph6z4rOM_000034_000044,3
IV0Cg42ytL8_000119_000129,4
IVwK0OulYR8_000166_000176,3
IdvKzSMRiNk_000015_000025,4
Ienx5kFEEOE_000037_000047,3
IgR096Z4VWw_000170_000180,0
IkbKPMFctd4_000025_000035,0
ItTh2exFB9Q_000013_000023,2
J0VfFE8L5QA_000108_000118,4
JDEwMWwvr0Q_000010_000020,1
JEAoPGKSVbM_000213_000223,0
JFTOIb9E7pg_000128_000138,1
JSB_XqAJCUI_000037_000047,2
JsULsNMp16Y_000532_000542,0
K7_tNXH-1JI_000216_000226,3
KAwL2vxKk-Q_000123_000133,3
KDSHy8ZRbFE_000025_000035,4
KGAGYJI51sY_000047_000057,4
KT0Yrkg_D_Y_000179_000189,3
KbFupBYRHww_000015_000025,4
Kbmv94BqZzU_000072_000082,2
KiJVDLCJx-Y_000025_000035,2
KpoArRM9bhw_000043_000053,2
KrXVd1H1eyQ_000222_000232,2
L1hw7CVy52k_000010_000020,0
L4TTR-q80sQ_000053_000063,2
L7s3-bjfzQw_000083_000093,1
LC1cQ5dFg2Y_000021_000031,4
LE4lC18Ttgc_000199_000209,3
LQgJPrqizg0_000076_000086,3
LQiYYpRUU-Y_000258_000268,2
LjXNCpSClhw_000030_000040,4
MH5WLYl3RYk_000141_000151,2
MJ4k-NgDY-s_000031_000041,4
MOe-PtXxvAo_000048_000058,4
Ma1e6LhtPFk_000338_000348,3
MiZJKnhb9_I_000129_000139,1
Moe1Czecmtg_000011_000021,3
MuvwZZFcDgA_000073_000083,2
N1ZVHHTF8ew_000070_000080,2
N6yzjGXOoXQ_000645_000655,4
NbCOvK3LOWc_000000_000010,2
O19eh3Ztbxs_000017_000027,0
O3Ax6gNUJIg_000012_000022,0
O3H_I1bRqwg_000015_000025,3
