segment,fold
-R4z88ZvLCA_000064_000074,2
-cAfxH1WnPo_000087_000097,3
-dglCzcubsw_000246_000256,0
-jo4dEIXIdE_000310_000320,1
-mlH-fXU_lQ_000027_000037,3
-vO-iaTn4qY_000232_000242,3
0eVbNhwl8_8_000035_000045,3
3JAHsIb7gFs_000014_000024,3
3fNbYkV8Mlc_000202_000212,1
4u41-OsKbcY_001144_001154,1
6PFFo9W2h-I_000000_000010,3
6XInl6ybtCM_000165_000175,4
6vzKVQhZo2g_000034_000044,4
6z3b7X5Hhgk_000018_000028,0
7BiRqruCbik_000043_000053,0
7DvZe1UCQ9M_000040_000050,3
7Gaco44RkSI_000175_000185,4
7KaEQ3e8S1s_000555_000565,1
7MwOF9vAhLQ_000019_000029,3
7TRbucnR9Sw_000025_000035,3
7Z4i-qep5sI_000025_000035,2
7aqST6yt4mA_000013_000023,3
7cmmRwejr4c_000053_000063,0
7h7oygwZg8I_000655_000665,2
7ucuoJtF9OM_000018_000028,1
7zvX3e9WENc_000017_000027,1
8BXJT1b0nrk_000134_000144,3
8Dk8YZDUZGk_000019_000029,2
8F2S0086y2U_000013_000023,4
8J6o8GVKs58_000563_000573,4
8KUVXUYk4l4_000013_000023,1
8Pchr85RtvE_000022_000032,3
8R5H75Hd-yc_000076_000086,2
8ZqOr0CuDjM_000012_000022,0
8bbfk-Ob0vE_000019_000029,3
8glyaEmPcdQ_000049_000059,2
8j-OkgcHUYg_000370_000380,4
8pQG7DWI7S4_000646_000656,4
8tlxGGVDG3g_000117_000127,2
8ualLg1Ti1A_000128_000138,1
976O0_Ya2-4_000233_000243,4
9BdJezRRvOM_000108_000118,3
9CKzGQhV7H8_000194_000204,3
9HwZIVAyJ-A_000146_000156,3
9MQK5u8EbbA_000079_000089,4
9SfVc8IeB-s_000049_000059,2
9VdQ7pUrl7Y_000037_000047,3
9cwbjY0yFIM_000023_000033,4
9e5uapZkpRM_000014_000024,0
9hagrmoY3qE_000000_000010,3
9lS7Q1_Zu-0_000054_000064,0
A6ynW63aSts_000011_000021,1
A79ffFgSwIQ_000024_000034,1
A95YLvuh-IQ_000036_000046,3
ABtNT6ok57E_000100_000110,0
ADPZKzTja0s_000062_000072,2
ANuDP4CylUk_000393_000403,0
ATMKOK0mI2o_000231_000241,4
AYbGlLtB7D0_000269_000279,1
A_44rrgTHRU_000021_000031,0
Ae-edqttiEo_000028_000038,0
AgQ5VWnL9VY_000155_000165,3
AjoA3yALXyc_000040_000050,1
Amelecba8lU_000045_000055,4
AmyAy-IaJuI_000047_000057,4
AvqlBLq9FmQ_000035_000045,1
AzURNZEc4L4_000081_000091,3
B1N_DDn2hLI_000724_000734,2
B77Yjkw_vyo_000030_000040,2
BBN0LWvzi3s_000056_000066,0
BFpTUiwqclk_000190_000200,3
BGDnwIiOYQ8_000029_000039,2
BPjYLZvRjkY_000012_000022,1
BS8YbmPsCxE_000120_000130,3
BSq_22ep1eI_000294_000304,0
Bf11WsIP3es_000023_000033,3
Bi9IBQQ8tHw_000029_000039,2
Bp_htaFkXBM_000131_000141,2
BygUpGOewR4_000013_000023,3
C-4ZA0cX9Lc_000024_000034,3
C-N4M14ezW0_000026_000036,0
C7R4UNgK0mA_000054_000064,4
CChF4Mmlc-0_000246_000256,0
CEKHgBG-XVc_000418_000428,1
CEVO0nClDTY_000077_000087,1
CXCmPXAJQ0k_000101_000111,3
CYQeHcfdj4w_000178_000188,1
Cax7RTUcQZA_000000_000010,2
Cg9yvOyEIL0_000020_000030,2
Cy7947iDHhg_000102_000112,3
D-Rrb3Y-kdE_000046_000056,0
D0TR14J-gm8_000121_000131,1
D2QfAj8QnX8_001196_001206,3
D5CqqzRqh88_000193_000203,3
D9RnOGuko78_000050_000060,3
D9XYemqKjeI_000017_000027,3
DAqW-QhuElc_000065_000075,0
DBXE6k9PP-g_000024_000034,2
DCLwhvmzn6Y_000045_000055,2
DKNqbOxyd5s_000000_000010,2
DPeCo4x5IUg_000072_000082,4
DbnXRR9n6UU_000011_000021,2
DdLB3ZFmDTc_000028_000038,4
Dgl2RpFT7yI_000025_000035,3
DknHKMRGxeQ_000134_000144,3
DzNl8cw1gQc_000076_000086,2
E1fmSijoPT4_000015_000025,1
EDM2ArE3sRc_000010_000020,1
EFSisbqfB8U_000015_000025,3
ETy-PE1p1bc_000143_000153,0
EY8LewdIGqM_000109_000119,1
EhERqjPd9_0_000038_000048,4
EiTuTfvs_oc_000424_000434,1
F73ZSWMp0yk_000417_000427,1
FF1hfHI6P3E_000019_000029,0
FS9x9nZG1fQ_000017_000027,1
FeEJJZHHDm4_000959_000969,2
FeYiE_XxocE_000116_000126,0
FhymgtQfe5g_000481_000491,2
Fi4Trd-2BqE_000029_000039,1
Fjj-NjxRSMk_000597_000607,1
FrmaW6pGgz4_000542_000552,0
FwkmAOCWLgs_000081_000091,1
FxA9qDryB7g_000027_000037,3
G8ypfFSt_Lo_000082_000092,3
GKHEKwHEDMU_000196_000206,2
GRJMeHh4Dkc_000019_000029,1
GgPhiQvUtRs_000325_000335,0
GjbOa8EsqyQ_000018_000028,1
GkWMryHh9Tw_000023_000033,2
