segment,fold
badminton:match178:000,3
badminton:match179:000,3
badminton:match180:000,2
badminton:match181:000,0
badminton:match182:000,4
badminton:match183:000,1
badminton:match184:000,3
badminton:match185:000,2
badminton:match186:000,1
badminton:match187:000,2
badminton:match188:000,4
badminton:match189:000,1
badminton:match18:000,1
badminton:match190:000,2
badminton:match191:000,0
badminton:match192:000,1
badminton:match193:000,3
badminton:match194:000,3
badminton:match195:000,1
badminton:match196:000,3
badminton:match197:000,1
badminton:match199:000,1
badminton:match19:000,2
badminton:match200:000,1
badminton:match201:000,3
badminton:match202:000,4
badminton:match203:000,3
badminton:match204:000,3
badminton:match205:000,3
badminton:match206:000,3
badminton:match207:000,1
badminton:match208:000,0
badminton:match209:000,4
badminton:match20:000,1
badminton:match210:000,4
badminton:match211:000,3
badminton:match212:000,4
badminton:match213:000,3
badminton:match214:000,3
badminton:match215:000,3
badminton:match216:000,4
badminton:match217:000,1
badminton:match218:000,2
badminton:match219:000,4
badminton:match21:000,4
badminton:match220:000,2
badminton:match221:000,1
badminton:match222:000,2
badminton:match223:000,1
badminton:match224:000,1
badminton:match225:000,1
badminton:match226:000,0
badminton:match227:000,3
badminton:match228:000,0
badminton:match229:000,3
badminton:match22:000,2
badminton:match230:000,2
badminton:match231:000,1
badminton:match232:000,3
badminton:match233:000,0
badminton:match234:000,2
badminton:match235:000,3
badminton:match236:000,2
badminton:match237:000,1
badminton:match238:000,1
badminton:match239:000,1
badminton:match23:000,2
badminton:match240:000,2
badminton:match241:000,2
badminton:match242:000,1
badminton:match243:000,1
badminton:match244:000,0
badminton:match245:000,1
badminton:match246:000,2
badminton:match247:000,4
badminton:match248:000,1
badminton:match249:000,1
badminton:match24:000,2
badminton:match250:000,3
badminton:match251:000,3
badminton:match252:000,2
badminton:match253:000,0
badminton:match254:000,3
badminton:match255:000,1
badminton:match256:000,3
badminton:match257:000,4
badminton:match258:000,4
badminton:match259:000,2
badminton:match25:000,2
badminton:match260:000,4
badminton:match261:000,4
badminton:match262:000,4
badminton:match263:000,4
badminton:match264:000,4
badminton:match265:000,2
badminton:match266:000,2
badminton:match267:000,1
badminton:match268:000,2
badminton:match269:000,2
badminton:match26:000,0
badminton:match270:000,1
badminton:match271:000,3
badminton:match272:000,2
badminton:match273:000,4
badminton:match274:000,1
badminton:match275:000,0
badminton:match276:000,2
badminton:match277:000,3
badminton:match278:000,2
badminton:match279:000,4
badminton:match27:000,3
badminton:match280:000,0
badminton:match281:000,0
badminton:match282:000,1
badminton:match283:000,2
badminton:match284:000,4
badminton:match285:000,1
badminton:match286:000,0
badminton:match287:000,4
badminton:match288:000,4
badminton:match289:000,3
badminton:match28:000,4
badminton:match290:000,1
badminton:match291:000,2
badminton:match292:000,3
badminton:match293:000,2
badminton:match294:000,2
badminton:match295:000,4
badminton:match296:000,1
badminton:match297:000,1
badminton:match298:000,3
badminton:match299:000,2
badminton:match29:000,4
badminton:match2:000,1
badminton:match300:000,1
badminton:match301:000,4
badminton:match302:000,1
badminton:match303:000,1
badminton:match304:000,4
badminton:match305:000,3
badminton:match306:000,3
badminton:match307:000,2
badminton:match308:000,1
badminton:match309:000,2
badminton:match30:000,4
badminton:match310:000,0
badminton:match311:000,2
badminton:match312:000,4
badminton:match313:000,1
badminton:match314:000,1
badminton:match315:000,1
badminton:match316:000,4
badminton:match317:000,3
badminton:match318:000,4
badminton:match319:000,3
badminton:match31:000,1
badminton:match320:000,0
badminton:match321:000,4
badminton:match322:000,2
badminton:match323:000,3
badminton:match324:000,2
badminton:match325:000,3
badminton:match326:000,1
badminton:match327:000,0
badminton:match328:000,4
badminton:match329:000,0
badminton:match32:000,0
badminton:match330:000,3
badminton:match331:000,2
badminton:match332:000,4
badminton:match333:000,4
badminton:match334:000,0
badminton:match335:000,2
badminton:match336:000,0
badminton:match337:000,2
badminton:match338:000,2
badminton:match339:000,3
badminton:match33:000,0
badminton:match340:000,3
badminton:match341:000,2
badminton:match342:000,2
badminton:match343:000,2
badminton:match344:000,3
badminton:match345:000,3
badminton:match346:000,2
badminton:match347:000,1
badminton:match348:000,3
badminton:match349:000,1
badminton:match34:000,3
badminton:match350:000,0
badminton:match351:000,3
badminton:match352:000,1
badminton:match353:000,4
badminton:match354:000,2
badminton:match355:000,2
badminton:match356:000,1
badminton:match357:000,3
badminton:match358:000,3
badminton:match359:000,4
badminton:match35:000,1
badminton:match360:000,0
badminton:match361:000,4
badminton:match362:000,0
badminton:match363:000,0
badminton:match364:000,4
badminton:match365:000,0
badminton:match366:000,4
badminton:match367:000,3
badminton:match368:000,3
badminton:match369:000,2
badminton:match36:000,0
badminton:match370:000,4
badminton:match371:000,1
badminton:match372:000,0
badminton:match373:000,3
badminton:match374:000,2
badminton:match375:000,3
badminton:match376:000,0
badminton:match377:000,4
badminton:match378:000,0
badminton:match379:000,2
badminton:match37:000,2
badminton:match380:000,2
badminton:match381:000,2
badminton:match382:000,0
badminton:match383:000,2
badminton:match384:000,0
badminton:match385:000,3
badminton:match386:000,0
badminton:match387:000,0
badminton:match388:000,3
badminton:match389:000,4
badminton:match38:000,1
badminton:match390:000,4
badminton:match391:000,1
badminton:match392:000,4
badminton:match393:000,1
badminton:match394:000,3
badminton:match395:000,1
badminton:match396:000,1
badminton:match397:000,1
badminton:match398:000,3
badminton:match399:000,2
badminton:match39:000,3
badminton:match3:000,4
badminton:match400:000,0
badminton:match401:000,2
badminton:match402:000,1
badminton:match403:000,4
badminton:match404:000,0
badminton:match405:000,1
badminton:match406:000,2
badminton:match407:000,3
badminton:match408:000,1
badminton:match409:000,0
badminton:match40:000,4
badminton:match410:000,2
badminton:match411:000,0
badminton:match412:000,1
badminton:match413:000,2
badminton:match414:000,4
badminton:match415:000,0
badminton:match416:000,2
badminton:match417:000,2
badminton:match418:000,4
badminton:match419:000,3
badminton:match41:000,2
badminton:match420:000,2
badminton:match421:000,1
badminton:match422:000,3
badminton:match423:000,2
badminton:match424:000,3
badminton:match425:000,2
badminton:match426:000,0
badminton:match427:000,2
badminton:match428:000,0
badminton:match429:000,2
badminton:match42:000,0
badminton:match430:000,0
badminton:match431:000,3
badminton:match432:000,1
badminton:match433:000,4
badminton:match434:000,1
badminton:match435:000,3
badminton:match436:000,0
badminton:match437:000,2
badminton:match438:000,1
badminton:match439:000,2
badminton:match43:000,0
badminton:match440:000,0
badminton:match441:000,0
badminton:match442:000,3
badminton:match443:000,2
badminton:match444:000,3
badminton:match445:000,2
badminton:match446:000,3
badminton:match447:000,0
badminton:match448:000,3
badminton:match449:000,1
badminton:match44:000,3
badminton:match450:000,0
badminton:match451:000,1
badminton:match452:000,3
badminton:match453:000,0
badminton:match454:000,3
badminton:match455:000,3
badminton:match456:000,0
badminton:match457:000,0
badminton:match458:000,4
badminton:match459:000,4
badminton:match45:000,1
badminton:match460:000,2
badminton:match461:000,4
badminton:match46:000,4
badminton:match47:000,3
badminton:match48:000,3
badminton:match49:000,0
badminton:match4:000,2
badminton:match50:000,4
badminton:match51:000,1
badminton:match52:000,3
badminton:match53:000,0
badminton:match54:000,0
badminton:match55:000,3
badminton:match56:000,1
badminton:match57:000,1
badminton:match58:000,2
badminton:match59:000,0
badminton:match5:000,3
badminton:match60:000,4
badminton:match61:000,2
badminton:match62:000,3
badminton:match63:000,4
badminton:match64:000,4
badminton:match65:000,1
badminton:match66:000,0
badminton:match67:000,2
badminton:match68:000,4
badminton:match69:000,1
badminton:match6:000,1
badminton:match70:000,3
badminton:match71:000,1
badminton:match72:000,1
badminton:match73:000,3
badminton:match74:000,4
badminton:match75:000,0
badminton:match76:000,1
badminton:match77:000,3
badminton:match78:000,1
badminton:match79:000,1
badminton:match7:000,3
badminton:match80:000,0
badminton:match81:000,3
badminton:match82:000,1
badminton:match83:000,3
badminton:match84:000,1
badminton:match85:000,0
badminton:match86:000,4
badminton:match87:000,3
badminton:match88:000,2
badminton:match89:000,4
badminton:match8:000,3
badminton:match90:000,3
badminton:match91:000,2
badminton:match92:000,2
badminton:match93:000,4
badminton:match94:000,1
badminton:match95:000,3
badminton:match96:000,3
badminton:match97:000,1
badminton:match98:000,2
badminton:match99:000,0
badminton:match9:000,2
tabletennis:match14:002,0
tabletennis:match14:003,4
tabletennis:match14:004,2
tabletennis:match14:005,3
tabletennis:match14:006,3
tabletennis:match14:007,3
tabletennis:match14:008,3
tabletennis:match14:009,3
tabletennis:match14:010,1
tabletennis:match14:011,2
tabletennis:match14:012,2
tabletennis:match14:013,4
tabletennis:match14:014,1
tabletennis:match14:015,0
tabletennis:match14:016,2
tabletennis:match14:017,2
tabletennis:match14:018,4
tabletennis:match14:019,0
tabletennis:match15:002,4
tabletennis:match15:003,4
tabletennis:match15:004,4
tabletennis:match15:005,0
tabletennis:match15:006,1
tabletennis:match15:007,3
tabletennis:match15:008,3
tabletennis:match15:009,2
tabletennis:match15:010,2
tabletennis:match15:011,2
tabletennis:match15:012,3
tabletennis:match15:013,2
tabletennis:match15:014,4
tabletennis:match15:015,1
tabletennis:match15:016,0
tabletennis:match15:017,1
tabletennis:match15:018,2
tabletennis:match15:019,0
tabletennis:match16:002,1
tabletennis:match16:003,2
tabletennis:match16:004,1
tabletennis:match16:005,0
tabletennis:match16:006,1
tabletennis:match16:007,4
tabletennis:match16:008,4
tabletennis:match16:010,0
tabletennis:match16:011,0
tabletennis:match16:012,1
tabletennis:match16:013,1
tabletennis:match16:014,0
tabletennis:match16:015,2
tabletennis:match16:016,4
tabletennis:match16:017,1
tabletennis:match16:018,1
tabletennis:match16:019,2
tabletennis:match17:002,1
tabletennis:match17:003,2
tabletennis:match17:004,3
tabletennis:match17:005,3
tabletennis:match17:006,4
tabletennis:match17:007,3
tabletennis:match17:008,0
tabletennis:match17:009,2
tabletennis:match17:010,2
tabletennis:match17:011,2
tabletennis:match17:012,3
tabletennis:match17:013,4
tabletennis:match17:014,1
tabletennis:match17:015,0
tabletennis:match17:016,1
tabletennis:match17:017,1
tabletennis:match17:018,0
tabletennis:match17:019,3
tabletennis:match18:001,4
tabletennis:match18:002,4
tabletennis:match18:003,1
tabletennis:match18:004,2
tabletennis:match18:005,4
tabletennis:match18:006,0
tabletennis:match18:007,3
tabletennis:match18:008,4
tabletennis:match18:009,2
tabletennis:match18:010,0
tabletennis:match18:011,2
tabletennis:match18:012,4
tabletennis:match19:001,1
tabletennis:match19:002,1
tabletennis:match19:003,4
tabletennis:match19:004,0
tabletennis:match19:005,3
tabletennis:match20:001,4
tabletennis:match20:002,3
tabletennis:match20:003,0
tabletennis:match20:004,1
tabletennis:match20:005,4
tabletennis:match20:006,2
tabletennis:match20:007,1
tabletennis:match20:008,2
tabletennis:match20:009,3
tabletennis:match20:010,2
tabletennis:match20:011,2
tabletennis:match20:012,4
tabletennis:match20:013,4
tabletennis:match20:014,3
tabletennis:match20:015,4
tabletennis:match20:016,2
tabletennis:match20:017,3
tabletennis:match20:018,4
tabletennis:match21:002,2
tabletennis:match21:003,4
tabletennis:match21:004,3
tabletennis:match21:005,3
tabletennis:match21:006,0
tabletennis:match21:007,1
tabletennis:match21:008,0
tabletennis:match21:009,1
tabletennis:match21:010,2
tabletennis:match21:011,1
tabletennis:match21:012,3
tabletennis:match21:013,2
tabletennis:match21:014,0
tabletennis:match21:015,3
tabletennis:match21:016,0
tabletennis:match21:017,4
tabletennis:match21:018,2
tabletennis:match21:019,1
tabletennis:match22:002,1
tabletennis:match22:003,3
tabletennis:match22:004,2
tabletennis:match22:005,1
tabletennis:match22:006,0
tabletennis:match22:007,1
tabletennis:match22:008,1
tabletennis:match22:009,0
tabletennis:match22:010,0
tabletennis:match22:011,0
tabletennis:match22:012,3
tabletennis:match22:013,4
tabletennis:match22:014,3
tabletennis:match22:015,2
tabletennis:match22:016,0
tabletennis:match22:017,0
tabletennis:match22:018,3
tabletennis:match22:019,4
tabletennis:match23:002,2
tabletennis:match23:003,1
tabletennis:match23:004,4
tabletennis:match23:005,0
tabletennis:match23:006,0
tabletennis:match23:007,0
tabletennis:match23:008,2
tabletennis:match23:009,0
tabletennis:match23:010,3
tabletennis:match23:011,4
tabletennis:match23:012,4
tabletennis:match23:013,0
tabletennis:match23:014,2
tabletennis:match23:015,1
tabletennis:match23:016,4
tabletennis:match23:017,4
tabletennis:match23:018,0
tabletennis:match23:019,3
tabletennis:match24:002,2
tabletennis:match24:003,3
tabletennis:match24:004,3
tabletennis:match24:005,2
tabletennis:match24:006,1
tabletennis:match24:007,1
tabletennis:match24:008,2
tabletennis:match24:009,4
tabletennis:match24:010,3
tabletennis:match24:011,0
tabletennis:match24:012,3
tabletennis:match24:013,2
tabletennis:match24:014,1
tabletennis:match24:015,0
tabletennis:match24:016,1
tabletennis:match24:017,2
tabletennis:match24:018,3
tabletennis:match24:019,3
tabletennis:match25:001,2
tabletennis:match25:002,3
tabletennis:match25:003,0
tabletennis:match25:004,0
tabletennis:match25:005,4
tabletennis:match25:006,3
tabletennis:match25:007,4
tabletennis:match25:008,4
tabletennis:match25:009,0
tabletennis:match25:010,4
tabletennis:match25:011,2
tabletennis:match25:012,4
tabletennis:match25:013,0
tabletennis:match25:014,0
tabletennis:match25:015,0
tabletennis:match25:016,3
tabletennis:match25:017,4
tabletennis:match25:018,1
tabletennis:match26:002,2
tabletennis:match26:003,2
tabletennis:match26:004,1
tabletennis:match26:005,1
tabletennis:match26:006,2
tabletennis:match26:007,0
tabletennis:match26:008,0
tabletennis:match26:009,4
tabletennis:match26:010,1
tabletennis:match26:011,1
tabletennis:match26:012,4
tabletennis:match26:013,4
tabletennis:match26:014,0
tabletennis:match26:015,0
tabletennis:match26:016,0
tabletennis:match26:017,2
tabletennis:match26:018,1
tabletennis:match26:019,4
tabletennis:match27:002,0
tabletennis:match27:003,4
tabletennis:match27:004,4
tabletennis:match27:005,4
tabletennis:match27:006,4
tabletennis:match27:007,1
tabletennis:match27:008,1
tabletennis:match27:009,1
tabletennis:match27:010,4
tabletennis:match27:011,2
tabletennis:match27:012,4
