segment,fold
badminton:Amateur_match1:1_00_01,1
badminton:Amateur_match1:1_01_01,1
badminton:Amateur_match1:1_01_02,1
badminton:Amateur_match1:1_01_03,1
badminton:Amateur_match1:1_01_04,1
badminton:Amateur_match1:1_02_04,1
badminton:Amateur_match1:1_03_04,1
badminton:Amateur_match1:1_03_05,1
badminton:Amateur_match1:1_04_05,1
badminton:Amateur_match1:1_05_05,1
badminton:Amateur_match2:1_01_00,3
badminton:Amateur_match2:1_02_00,3
badminton:Amateur_match2:1_03_00,3
badminton:Amateur_match2:1_04_00,3
badminton:Amateur_match2:1_05_00,3
badminton:Amateur_match2:1_05_01,3
badminton:Amateur_match2:1_05_02,3
badminton:Amateur_match2:1_05_03,3
badminton:Amateur_match2:1_06_03,3
badminton:Amateur_match3:1_00_01,0
badminton:Amateur_match3:1_00_02,0
badminton:Amateur_match3:1_00_03,0
badminton:Amateur_match3:1_01_03,0
badminton:Amateur_match3:1_02_03,0
badminton:Amateur_match3:1_02_04,0
badminton:Amateur_match3:1_02_05,0
badminton:Professional_match10:1_03_01,4
badminton:Professional_match10:1_03_03,4
badminton:Professional_match10:1_12_16,4
badminton:Professional_match10:2_04_02,4
badminton:Professional_match10:2_14_08,4
badminton:Professional_match11:1_03_01,1
badminton:Professional_match11:1_07_06,1
badminton:Professional_match11:1_13_13,1
badminton:Professional_match11:2_05_00,1
badminton:Professional_match11:2_15_04,1
badminton:Professional_match12:1_01_00,0
badminton:Professional_match12:1_10_12,0
badminton:Professional_match12:2_01_01,0
badminton:Professional_match12:2_05_14,0
badminton:Professional_match12:3_03_03,0
badminton:Professional_match13:1_09_10,3
badminton:Professional_match13:1_17_15,3
badminton:Professional_match13:2_06_05,3
badminton:Professional_match13:2_07_05,3
badminton:Professional_match13:2_09_08,3
badminton:Professional_match13:2_17_11,3
badminton:Professional_match14:1_17_14,3
badminton:Professional_match14:2_13_06,3
badminton:Professional_match14:2_15_10,3
badminton:Professional_match14:2_19_13,3
badminton:Professional_match14:2_21_17,3
badminton:Professional_match15:1_21_12,2
badminton:Professional_match15:2_14_08,2
badminton:Professional_match15:2_16_12,2
badminton:Professional_match15:2_18_14,2
badminton:Professional_match15:2_19_14,2
badminton:Professional_match16:1_03_06,4
badminton:Professional_match16:1_13_20,4
badminton:Professional_match16:2_08_08,4
badminton:Professional_match16:3_12_06,4
badminton:Professional_match16:3_14_09,4
badminton:Professional_match16:3_17_16,4
badminton:Professional_match17:1_02_02,4
badminton:Professional_match17:1_15_13,4
badminton:Professional_match17:2_01_01,4
badminton:Professional_match17:2_08_05,4
badminton:Professional_match17:2_15_11,4
badminton:Professional_match17:2_18_11,4
badminton:Professional_match18:1_06_12,1
badminton:Professional_match18:2_02_02,1
badminton:Professional_match18:3_03_05,1
badminton:Professional_match18:3_12_14,1
badminton:Professional_match18:3_16_17,1
badminton:Professional_match18:3_20_19,1
badminton:Professional_match19:1_01_01,1
badminton:Professional_match19:1_01_03,1
badminton:Professional_match19:1_07_08,1
badminton:Professional_match19:2_12_06,1
badminton:Professional_match19:2_14_08,1
badminton:Professional_match1:1_01_00,0
badminton:Professional_match1:1_02_00,0
badminton:Professional_match1:1_02_01,0
badminton:Professional_match1:1_02_02,0
badminton:Professional_match1:1_02_03,0
badminton:Professional_match1:1_02_04,0
badminton:Professional_match1:1_03_05,0
badminton:Professional_match1:1_03_06,0
badminton:Professional_match1:1_06_06,0
badminton:Professional_match1:1_06_08,0
badminton:Professional_match1:1_06_09,0
badminton:Professional_match20:1_09_05,3
badminton:Professional_match20:1_11_10,3
badminton:Professional_match20:2_00_01,3
badminton:Professional_match20:2_05_08,3
badminton:Professional_match20:2_07_08,3
badminton:Professional_match20:2_19_14,3
badminton:Professional_match21:1_02_01,1
badminton:Professional_match21:1_16_17,1
badminton:Professional_match21:1_19_19,1
badminton:Professional_match21:2_02_03,1
badminton:Professional_match21:2_04_04,1
badminton:Professional_match21:2_09_08,1
badminton:Professional_match21:2_12_08,1
badminton:Professional_match22:1_02_01,2
badminton:Professional_match22:1_07_02,2
badminton:Professional_match22:2_17_18,2
badminton:Professional_match22:2_18_18,2
badminton:Professional_match22:3_15_13,2
badminton:Professional_match23:1_06_04,2
badminton:Professional_match23:1_11_08,2
badminton:Professional_match23:1_17_13,2
badminton:Professional_match23:2_02_03,2
badminton:Professional_match23:2_07_03,2
badminton:Professional_match23:2_12_08,2
badminton:Professional_match2:1_00_02,2
badminton:Professional_match2:1_02_03,2
badminton:Professional_match2:1_04_03,2
badminton:Professional_match2:1_06_08,2
badminton:Professional_match2:1_06_09,2
badminton:Professional_match2:1_08_11,2
badminton:Professional_match2:1_08_12,2
badminton:Professional_match2:1_09_12,2
badminton:Professional_match3:1_01_00,3
badminton:Professional_match3:1_08_10,3
badminton:Professional_match3:1_12_17,3
badminton:Professional_match3:2_04_07,3
badminton:Professional_match3:2_10_12,3
badminton:Professional_match3:2_18_15,3
badminton:Professional_match3:3_11_10,3
badminton:Professional_match4:1_03_02,4
badminton:Professional_match4:1_15_10,4
badminton:Professional_match4:2_02_05,4
badminton:Professional_match4:2_05_07,4
badminton:Professional_match4:2_14_17,4
badminton:Professional_match4:3_02_00,4
badminton:Professional_match4:3_07_05,4
badminton:Professional_match4:3_18_17,4
badminton:Professional_match5:1_01_01,0
badminton:Professional_match5:1_01_02,0
badminton:Professional_match5:1_19_18,0
badminton:Professional_match5:1_21_19,0
badminton:Professional_match5:2_15_13,0
badminton:Professional_match5:2_20_17,0
badminton:Professional_match6:1_02_00,1
badminton:Professional_match6:1_05_03,1
badminton:Professional_match6:1_11_04,1
badminton:Professional_match6:1_15_06,1
badminton:Professional_match6:1_19_12,1
badminton:Professional_match7:1_02_01,0
badminton:Professional_match7:1_12_13,0
badminton:Professional_match7:2_05_03,0
badminton:Professional_match7:2_14_15,0
badminton:Professional_match7:3_08_05,0
badminton:Professional_match8:1_01_00,4
badminton:Professional_match8:1_05_13,4
badminton:Professional_match8:2_03_06,4
badminton:Professional_match8:2_10_12,4
badminton:Professional_match8:3_02_00,4
badminton:Professional_match8:3_15_08,4
badminton:Professional_match8:3_17_12,4
badminton:Professional_match8:3_21_13,4
badminton:Professional_match9:1_01_03,2
badminton:Professional_match9:1_02_03,2
badminton:Professional_match9:1_04_05,2
badminton:Professional_match9:1_05_06,2
badminton:Professional_match9:1_06_06,2
badminton:Professional_match9:1_07_07,2
badminton:Professional_match9:1_07_10,2
badminton:Professional_match9:1_07_11,2
badminton:Professional_match9:1_07_14,2
